timestamp,pressure,temperature,altitude,ASMaccelX,ASMaccelY,ASMaccelZ,ASMgyrX,ASMgyrY,ASMgyrZ,ICMaccelX,ICMaccelY,ICMaccelZ,ICMgyrX,ICMgyrY,ICMgyrZ,magX,magY,magZ,ICMtemp,lat,lon,altMSL,altEll,velN,velE,velD,epochTime,satellites,gpsLockType
2265,1001.4573,23.1200,98.6311,-0.0340,0.0170,1.0150,0.6300,-2.0300,-1.1900,-0.0622,-0.1484,10.0365,-0.0117,0.0053,-0.0458,16.6500,27.3000,22.0500,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2290,1001.4451,23.1200,98.7336,-0.0200,0.0120,1.0140,0.7700,-1.5400,-2.9400,-0.0814,-0.0718,9.9024,0.0149,-0.0085,-0.0128,16.6500,27.3000,21.0000,25.9361,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2315,1001.4541,23.1200,98.6577,-0.0170,0.0020,1.0140,0.4200,-2.3100,-1.4700,-0.1341,0.0192,9.9407,-0.0106,0.0053,-0.0011,16.6500,27.7500,21.3000,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2340,1001.4541,23.1200,98.6577,-0.0110,0.0040,1.0170,0.9100,-1.5400,-0.7700,-0.0479,0.0766,9.8881,0.0043,-0.0138,0.0128,17.8500,29.2500,22.8000,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2365,1001.4561,23.1200,98.6413,-0.0100,0.0040,1.0170,0.9100,-1.5400,-0.1400,-0.1389,0.1101,9.8833,-0.0032,0.0011,0.0074,16.5000,28.2000,22.2000,26.2715,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2390,1001.4561,23.1200,98.6413,0.0000,0.0050,1.0130,0.8400,-1.6100,-0.0700,-0.0383,0.1580,9.9168,-0.0064,0.0074,0.0043,17.5500,27.9000,22.2000,25.9840,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2415,1001.4226,23.1300,98.9224,0.0000,0.0060,1.0130,1.1200,-1.2600,-0.0700,-0.1197,0.1006,9.9551,-0.0043,0.0000,0.0043,17.1000,27.3000,23.1000,26.3194,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2440,1001.4346,23.1200,98.8219,0.0000,0.0110,1.0160,1.1200,-1.2600,-0.0700,-0.1341,0.0431,9.8737,-0.0064,0.0032,0.0021,16.3500,27.7500,23.1000,26.2715,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2465,1001.4346,23.1200,98.8219,-0.0060,0.0130,1.0150,0.7700,-1.6100,-0.0700,-0.1580,-0.0048,9.9455,-0.0053,0.0000,0.0064,16.9500,27.1500,22.6500,26.2715,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2490,1001.4775,23.1200,98.4608,-0.0120,0.0110,1.0150,1.0500,-1.3300,-0.0700,-0.1724,-0.0335,9.9599,0.0011,0.0000,0.0043,16.3500,28.5000,22.3500,26.0319,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
